ID;area_calc;elev_mean;elev_med;elev_std;elev_ran;slope_mean;mvert_dist;mvert_ang;elon_ratio;strm_dens;p_mean;et0_mean;eta_mean;arid_1;arid_2;p_season;frac_snow;hi_prec_fr;hi_prec_du;hi_prec_ti;lo_prec_fr;lo_prec_du;lo_prec_ti;lc_dom;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;lai_max;lai_diff;ndvi_max;ndvi_min;gvf_max;gvf_diff;bedrk_dep;root_dep;soil_poros;soil_condu;soil_tawc;sand_fra;silt_fra;clay_fra;grav_fra;oc_fra;gc_dom;gc_ig_fra;gc_mt_fra;gc_pa_fra;gc_pb_fra;gc_pi_fra;gc_py_fra;gc_sc_fra;gc_sm_fra;gc_ss_fra;gc_su_fra;gc_va_fra;gc_vb_fra;gc_wb_fra;geol_perme;geol_poros
1;4668.379;1875;1963;609;3130;346;101.9;40;0.757;0.71;4.43;2.16;0.91;0.49;0.54;0.32;0.38;11.95;1.17;jja;154.55;2.92;djf;321;0.117;0.265;0.246;0.007;0.003;0.022;2.46;2.39;0.61;0.01;0.80;0.94;1.12;0.99;0.42;0.047;0.12;0.690;0.200;0.110;0.096;0.009;sc;0.006;0.235;0.027;0.000;0.002;0.000;0.388;0.055;0.039;0.221;0.008;0.019;0.002;-12.0;0.095
2;102.287;1775;1827;422;2097;368;18.8;283;0.607;0.66;4.92;2.18;0.92;0.44;0.61;0.26;0.41;9.25;1.23;jja;162.40;2.88;djf;321;0.051;0.193;0.322;0.000;0.000;0.029;2.53;2.45;0.65;0.01;0.85;1.00;0.56;0.59;0.44;0.031;0.09;0.556;0.289;0.156;0.106;0.013;mt;0.000;0.885;0.000;0.000;0.000;0.000;0.042;0.073;0.000;0.000;0.000;0.000;0.000;-13.1;0.025
3;536.299;1844;1916;511;2632;369;38.7;325;0.675;0.64;4.71;2.15;0.88;0.46;0.60;0.27;0.44;9.80;1.23;jja;162.10;2.86;djf;321;0.039;0.222;0.260;0.010;0.006;0.034;2.47;2.41;0.62;0.00;0.81;0.97;0.59;0.53;0.45;0.041;0.08;0.514;0.311;0.175;0.125;0.014;mt;0.001;0.847;0.000;0.000;0.000;0.000;0.132;0.020;0.000;0.001;0.000;0.000;0.000;-12.7;0.020
4;66.286;1894;1907;378;1843;393;12.5;257;0.737;0.80;4.93;2.05;0.86;0.42;0.56;0.27;0.44;8.70;1.25;jja;160.95;2.85;djf;321;0.047;0.279;0.169;0.000;0.000;0.023;2.48;2.45;0.62;-0.04;0.83;1.05;0.56;0.49;0.47;0.030;0.08;0.401;0.396;0.203;0.156;0.015;mt;0.000;0.599;0.000;0.000;0.000;0.000;0.401;0.000;0.000;0.000;0.000;0.000;0.000;-12.2;0.030
5;72.448;1774;1796;468;2336;432;13.6;40;0.704;0.63;5.06;2.20;1.19;0.43;0.50;0.27;0.34;10.45;1.22;jja;164.65;3.00;djf;321;0.024;0.307;0.289;0.014;0.021;0.017;2.27;2.21;0.56;-0.00;0.69;0.84;0.45;0.31;0.47;0.032;0.05;0.393;0.394;0.213;0.176;0.019;sc;0.000;0.156;0.000;0.000;0.000;0.000;0.821;0.009;0.000;0.000;0.000;0.000;0.015;-11.9;0.056
6;95.345;1608;1617;398;1917;417;15.0;262;0.736;0.68;5.15;2.24;1.19;0.43;0.55;0.29;0.34;9.35;1.18;jja;162.80;2.90;djf;321;0.054;0.246;0.276;0.000;0.000;0.004;2.87;2.81;0.66;-0.01;0.86;1.02;0.51;0.45;0.47;0.032;0.07;0.377;0.422;0.202;0.155;0.018;sc;0.000;0.070;0.000;0.000;0.000;0.000;0.773;0.157;0.000;0.000;0.000;0.000;0.000;-11.9;0.077
7;1143.768;1662;1718;541;2730;372;52.6;318;0.725;0.67;4.90;2.21;1.03;0.45;0.59;0.28;0.39;9.40;1.23;jja;161.15;2.90;djf;321;0.058;0.198;0.327;0.006;0.005;0.039;2.75;2.67;0.65;0.03;0.83;0.95;0.68;0.50;0.46;0.037;0.08;0.444;0.366;0.191;0.139;0.016;mt;0.001;0.480;0.000;0.000;0.000;0.000;0.407;0.111;0.000;0.000;0.000;0.000;0.001;-12.2;0.051
8;69.361;1562;1610;344;1879;407;16.7;7;0.562;0.62;5.13;2.29;1.30;0.45;0.52;0.30;0.23;10.00;1.15;NA;165.20;3.00;djf;312;0.006;0.117;0.577;0.000;0.000;0.006;3.15;3.02;0.72;0.08;0.86;0.88;0.56;1.09;0.42;0.033;0.11;0.699;0.185;0.116;0.123;0.007;sc;0.000;0.004;0.000;0.000;0.000;0.000;0.747;0.114;0.023;0.112;0.000;0.000;0.000;-11.7;0.101
9;1281.796;1610;1670;559;2776;365;62.7;317;0.645;0.67;4.91;2.23;1.06;0.45;0.59;0.28;0.37;9.30;1.22;jja;161.55;2.93;djf;321;0.064;0.184;0.350;0.005;0.004;0.044;2.82;2.73;0.66;0.04;0.84;0.93;0.73;0.54;0.46;0.037;0.08;0.455;0.358;0.188;0.137;0.015;mt;0.000;0.429;0.000;0.000;0.000;0.000;0.422;0.141;0.001;0.006;0.000;0.000;0.001;-12.1;0.058
10;33.373;1471;1500;235;1126;325;8.2;265;0.797;0.70;4.96;2.32;1.47;0.47;0.55;0.31;0.23;10.50;1.14;jja;169.70;3.01;djf;321;0.037;0.032;0.442;0.000;0.000;0.000;4.04;3.93;0.77;0.05;0.95;1.03;0.60;0.66;0.47;0.030;0.10;0.342;0.470;0.188;0.146;0.017;sm;0.000;0.000;0.000;0.000;0.000;0.000;0.229;0.771;0.000;0.000;0.000;0.000;0.000;-12.4;0.160
11;25.471;540;485;140;757;125;8.0;294;0.711;0.65;4.82;2.48;1.48;0.51;0.72;0.31;0.15;10.90;1.13;jja;173.10;3.04;djf;112;0.214;0.000;0.381;0.000;0.002;0.385;3.03;2.70;0.74;0.30;0.92;0.62;5.59;0.96;0.48;0.060;0.12;0.560;0.279;0.161;0.099;0.014;sc;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;-11.8;0.060
12;35.712;510;450;127;769;99;10.2;305;0.662;0.55;4.80;2.48;1.49;0.52;0.73;0.31;0.14;10.90;1.14;jja;174.05;3.06;djf;112;0.288;0.000;0.329;0.000;0.010;0.344;3.02;2.68;0.74;0.30;0.95;0.65;14.90;1.01;0.47;0.052;0.12;0.591;0.254;0.155;0.100;0.013;sc;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;-11.8;0.060
13;6305.855;1769;1845;635;3159;343;123.4;37;0.726;0.71;4.57;2.19;0.97;0.48;0.55;0.31;0.37;10.55;1.17;jja;151.75;2.87;djf;321;0.117;0.235;0.275;0.006;0.003;0.032;2.60;2.52;0.63;0.03;0.82;0.93;1.46;0.89;0.43;0.044;0.11;0.622;0.245;0.132;0.105;0.011;sc;0.004;0.261;0.020;0.000;0.001;0.000;0.411;0.075;0.029;0.177;0.006;0.014;0.002;-12.0;0.088
