ID;govnr;name;river;area_gov;elev;lon;lat;country;fedstate;region;obsbeg_day;obsbeg_hr;obsend;gaps_pre;gaps_post;area_ratio;nrs_euhyd;nrs_rivat;typimpact;diur_art;diur_glac;degimpact
1;200014;Bangs;Rhein;4647.9;420;4285776;2684573;AUT;VBG;Rhine;1996;1996;0;0.000;0.000;1.004;RL26007414;20447278;A;1;0;s
2;200048;Schruns (Vonbunweg);Litz;102.0;673;4314439;2662977;AUT;VBG;Rhine;1981;1976;0;0.000;0.000;1.003;RL26006574;20452702;-;0;0;l
3;231662;Loruens-Aeule;Ill;535.2;579;4309441;2668819;AUT;VBG;Rhine;1985;1985;0;0.000;0.000;1.002;RL26006800;20451771;A,I;1;0;s
4;200592;Kloesterle (OEBB);Alfenz;66.6;1014;4325696;2668384;AUT;VBG;Rhine;1998;1998;0;0.034;0.000;0.995;RL26006781;20451185;A;1;0;s
5;200097;Buers (Bruecke L82);Alvier;72.2;564;4306022;2670821;AUT;VBG;Rhine;1990;1990;0;0.000;0.000;1.003;RL26006921;20450952;E,F;0;0;s
6;200105;Garsella;Lutz;95.5;730;4311594;2679239;AUT;VBG;Rhine;1981;1976;0;0.000;0.000;0.998;RL26007218;20448450;-;0;0;l
7;231688;Beschling;Ill;1118.6;485;4296647;2676356;AUT;VBG;Rhine;1985;1985;0;0.000;0.000;1.022;RL26007117;20449191;A,E,I;1;0;s
8;200501;Amerluegen;Samina;70.0;603;4291748;2677010;AUT;VBG;Rhine;1991;1991;0;0.000;0.000;0.991;RL26007210;20450008;A,E;0;0;s
9;200147;Gisingen;Ill;1281.0;434;4289103;2683066;AUT;VBG;Rhine;1981;1976;0;0.000;0.000;1.001;RL26007510;20448448;A,E,I;1;0;s
10;200154;Laterns;Frutz;33.4;831;4300461;2682632;AUT;VBG;Rhine;1981;1976;0;0.000;0.000;0.999;RL26007354;20447746;-;0;0;l
11;200527;Brederis;Ehbach;25.2;427;4290272;2685650;AUT;VBG;Rhine;1991;1991;0;0.000;0.000;1.011;RL26007427;;-;0;0;l
12;200162;Meiningen (Guefel);Ehbach;39.1;419;4289160;2688098;AUT;VBG;Rhine;1986;1986;0;0.014;0.000;0.913;RL26007551;20447745;I,J;0;0;s
13;200196;Lustenau (Hoechster Bruecke);Rhein;6301.1;394;4295543;2704284;AUT;VBG;Rhine;1981;1990;0;0.000;0.000;1.001;RL26008222;20442846;A;1;0;s
14;200204;Enz;Dornbirnerach;51.1;467;4302992;2698201;AUT;VBG;Rhine;1981;1976;0;0.000;0.000;1.037;RL26007893;20443864;A;0;0;s
15;200428;Schwarzach;Schwarzach;17.7;425;4302807;2703793;AUT;VBG;Rhine;1982;1982;0;0.000;0.000;0.994;RL26008069;20442466;-;0;0;l
16;200212;Hoher Steg;Dornbirnerach;112.9;399;4298383;2703839;AUT;VBG;Rhine;1981;1976;0;0.006;0.000;1.031;RL26008064;20442463;A;0;0;m
17;200576;Hohenems;Emsbach;8.2;409;4296744;2695478;AUT;VBG;Rhine;1998;1998;0;0.000;0.000;1.005;RL26007800;20444578;-;0;0;l
18;200220;Lustenau (Hofsteig);Rheintalbinnenkanal;77.5;400;4298069;2702372;AUT;VBG;Rhine;1981;1976;0;0.000;0.000;0.988;RL26008065;;J;0;0;l
19;200410;Lauterach;Dornbirnerach;195.6;395;4296990;2705510;AUT;VBG;Rhine;1984;1984;0;0.000;0.000;0.996;RL26008131;20442207;A;0;0;m
20;200246;Hopfreben;Bregenzerach;41.7;944;4324600;2685762;AUT;VBG;Rhine;1981;1976;0;0.000;0.000;0.977;RL26007472;20446934;-;0;0;l
21;200253;Au;Bregenzerach;149.3;774;4318987;2690449;AUT;VBG;Rhine;1981;1976;0;0.000;0.000;0.987;RL26007688;20445582;-;0;0;l
22;200261;Mellau;Bregenzerach;228.6;671;4312012;2693459;AUT;VBG;Rhine;1981;1976;0;0.006;0.000;0.996;RL26007752;20444923;-;0;0;l
23;200493;Reuthe;Bizauerbach;14.1;644;4313123;2695246;AUT;VBG;Rhine;1991;1991;0;0.000;0.000;0.996;RL26007797;20444582;-;0;0;l
24;200287;Schoenenbach (Hengstig);Subersach;31.1;981;4324085;2696922;AUT;VBG;Rhine;1981;1976;0;0.000;0.000;1.002;RL26007861;20444117;-;0;0;u
25;200584;Kaelberweide;Leckenbach;13.7;974;4322672;2706485;AUT;VBG;Rhine;1996;1996;0;0.000;0.000;1.027;RL26008152;20441832;D;0;0;l
26;200451;Hittisau (VKW);Bolgenach;81.5;747;4318271;2705460;AUT;VBG;Rhine;1998;1998;0;0.023;0.000;0.972;RL26008119;20441831;I;0;0;s
27;200303;Krumbach-Zwing;Weissach;199.3;540;4314824;2709843;AUT;VBG;Rhine;1981;1976;0;0.000;0.000;1.017;RL26008229;20441501;A,E;0;0;s
28;200311;Thal (Martinsbruecke);Rotach;83.8;539;4311538;2712748;AUT;VBG;Rhine;1981;1976;0;0.000;0.000;1.004;RL26008354;20440703;-;0;0;l
29;200329;Kennelbach;Bregenzerach;826.3;423;4304037;2706980;AUT;VBG;Rhine;1981;1976;0;0.000;0.000;1.003;RL26008195;20441384;A;1;0;s
30;200345;Lochau;Ruggbach;6.8;409;4301821;2713647;AUT;VBG;Rhine;1981;1967;0;0.000;0.000;1.001;RL26008333;20439870;-;0;0;l
31;200352;Unterhochsteg;Leiblach;102.4;396;4301122;2713757;AUT;VBG;Rhine;1981;1976;0;0.077;0.074;;;;E;0;0;x
32;200394;Unterhochsteg (Summenpegel);Leiblach mit Werkskanal;102.4;397;4301123;2713756;AUT;VBG;Rhine;1981;1990;0;0.110;0.098;1.026;RL26008426;20439869;-;0;0;l
33;200360;Lech;Zuersbach;25.2;1454;4331660;2676828;AUT;VBG;Danube above Inn;1981;1976;0;0.000;0.000;1.010;RL35047873;20449909;E;0;0;m
34;200378;Lech (Tannbergbruecke);Lech;84.3;1437;4331675;2677131;AUT;VBG;Danube above Inn;1981;1976;0;0.000;0.000;1.000;RL35048098;20449082;E;0;0;m
35;201012;Steeg;Lech;247.9;1109;4343239;2680966;AUT;TYR;Danube above Inn;1981;1976;0;0.000;0.000;0.999;RL35048602;20448086;E;0;0;l
36;201053;Vorderhornbach (Bruecke);Hornbach;64.0;957;4361662;2695151;AUT;TYR;Danube above Inn;1981;1976;0;0.000;0.000;1.004;RL35050559;20444822;-;0;0;u
37;202226;Stanzach;Namlosbach;66.4;937;4363548;2696821;AUT;TYR;Danube above Inn;1998;1998;0;0.000;0.000;1.002;RL35050857;20444823;-;0;0;u
38;201087;Lechaschau;Lech;1012.2;836;4374508;2709524;AUT;TYR;Danube above Inn;1981;1976;0;0.000;0.000;1.001;RL35052639;20441066;A,E;1;0;s
39;201111;Vils (Laende);Vils;198.1;807;4370012;2715539;AUT;TYR;Danube above Inn;1981;1976;0;0.000;0.000;1.004;RL35053340;20439257;A;1;0;s
40;201095;Scharnitz (Weidach);Isar;203.6;957;4416497;2698144;AUT;TYR;Danube above Inn;1981;1979;0;0.000;0.000;0.995;RL35051009;20444122;-;0;0;l
41;202143;Scharnitz (Giessenbach);Giessenbach;65.1;966;4416009;2698010;AUT;TYR;Danube above Inn;1987;1987;0;0.000;0.000;1.002;RL35050984;20444235;-;0;0;l
42;202127;Klamm;Leutascher Ache;45.0;1184;4405116;2695038;AUT;TYR;Danube above Inn;1984;1984;0;0.000;0.000;1.032;RL35050577;20444708;-;0;0;l
43;201152;Ehrwald (Viadukt);Loisach;88.4;958;4389869;2699825;AUT;TYR;Danube above Inn;1981;1980;0;0.000;0.000;0.984;RL35051396;20443429;-;0;0;l
44;201160;Schalklhof;Schalklbach;107.8;982;4358329;2647224;AUT;TYR;Inn above Salzach;1981;1976;0;0.000;0.000;1.009;RL35044291;20456417;-;0;0;l
45;201178;Kajetansbruecke;Inn;2162.0;967;4359982;2648854;AUT;TYR;Inn above Salzach;1981;1976;0;0.000;0.000;0.998;RL35044321;20456418;A,E;1;0;s
46;201194;Prutz;Inn;2461.5;861;4371231;2662811;AUT;TYR;Inn above Salzach;1981;1976;0;0.000;0.000;1.000;RL35046009;20453082;A,E,I;1;0;s
47;230300;Gepatschalm;Fagge;55.0;1895;4377121;2643013;AUT;TYR;Inn above Salzach;1983;1983;0;0.000;0.000;1.038;RL35043891;20457642;-;0;1;u
48;201251;St. Anton am Arlberg-Moos;Rosanna;130.6;1313;4340438;2667613;AUT;TYR;Inn above Salzach;1981;1976;0;0.000;0.000;0.999;RL35046549;20451546;A,E;1;0;s
49;201210;Galtuer-Au;Trisanna;97.6;1544;4336120;2651021;AUT;TYR;Inn above Salzach;1981;1977;0;0.000;0.000;1.006;RL35044608;20455510;E;1;0;s
50;201236;See i. P.;Trisanna;385.4;1017;4356900;2664090;AUT;TYR;Inn above Salzach;1981;1976;0;0.000;0.000;1.000;RL35046037;20452476;E;0;0;s
51;202036;Landeck-Bruggen;Sanna;727.0;775;4363718;2670149;AUT;TYR;Inn above Salzach;1981;1976;0;0.015;0.000;1.001;RL35046857;20451062;E;1;0;s
52;202101;Nassereith (Wiesenmuehle);Gurglbach;78.3;813;4384685;2687903;AUT;TYR;Inn above Salzach;1981;1981;0;0.000;0.000;0.987;RL35049706;20447630;-;0;0;l
53;201319;Imst (Bahnhof);Inn;3842.0;707;4378389;2678688;AUT;TYR;Inn above Salzach;1986;1986;0;0.000;0.000;0.999;RL35048181;20448838;A,E,I;1;0;s
54;201335;St. Leonhard im Pitztal;Pitze;165.4;1339;4385113;2662164;AUT;TYR;Inn above Salzach;1981;1976;0;0.000;0.000;1.045;RL35045760;20454249;E;0;1;s
